# ACEMD Molecular Dynamics Version [3212u2]
# (c) 2009-2015 Acellera Ltd. http://www.acellera.com
# See License Agreement for terms and conditions of use
# or write to support@acellera.com
#
# Licensed by Acellera Ltd (http://www.acellera.com)
# No floating licenses available.
# License file locations:
# /shared/acemd//license.dat
# /home/sdoerr/.acellera/license.dat
# LICENSE INFORMATION:
# Holder  : Gianni De Fabritiis
# Site    : Universitat Pompeu Fabra
# Expiry  : Sun Jan 22 01:00:00 2017
# GPUS    : 4
#
# Running on host [loro.imim.es]
# MPI: Compiled against OpenMPI 1.2.4
# CUDA Synchronisation mode: SPIN
# SWAN: Created context 0 on GPU 0
# SWAN Device 0	:
#	Name		: GeForce GTX 780
#	ECC		: Disabled
#	Global mem	: 3071MB
#	Capability	: 3.5
#	PCI ID		: 0000:01:00.0
#	Device clock	: 993MHz
#	Memory clock	: 3004MHz
#	Memory width	: 384bit
# SWAN: Configuring Peer Access:
# -	
# SWAN device 0 is NVML device 0 with PCI-ID 0000:01:00.0 and serial [] 
# NVML : 0 : Fan 34%	 Temp 63C	 Mem Used 469MB Free 2601MB Total 3071MB
# NVML : 0 : Performance state 0
# Configuration [GeForce GTX 780] [350] [Linux]
#
# Cell dimension from XSC: 81.673126 75.819031 75.027573
# Amber: readparm : Reading parm file parameters
# PARM file in AMBER 7 format
# WARNING: Skipping unsupported PRMTOP section [ATOMIC_NUMBER]
# WARNING: Skipping unsupported PRMTOP section [SCEE_SCALE_FACTOR]
# WARNING: Skipping unsupported PRMTOP section [SCNB_SCALE_FACTOR]
# WARNING: Amber prmtop section [ATOMIC_NUMBER] is not used.
# WARNING: Amber prmtop section [SCEE_SCALE_FACTOR] is not used.
# WARNING: Amber prmtop section [SCNB_SCALE_FACTOR] is not used.
# WARNING: parameters.cpp, line 293: Encounter 10-12 H-bond term
# Amber parameter summary
# 51 Bonds    103 Angles 
# 48 Dihedral 0 Improper 0 crossterms 0 vdw 171 vdw_pairs
# Topology reports 42845 atoms
# -  There are 18 long-range exceptions
# -  There are 42 long-range exceptions
# There are 0 dummy (0 mass) atoms
# WARNING: Setting PME mesh dimensions: 82x76x76 using spacing of 1.00A
# There are 13199 waters in the system
# MSHAKE: 1600 bonds constrained
# MSHAKE: removing 1600 degrees of freedom (87338)
# There are 87338 degrees of freedom
# Setting velocity field T=298.000000K
#     Step	      Bond	     Angle	     Dihed	      Elec	       VDW	        PE	        KE	  External	     Total	      Temp	      Pres	   PresAve
      8000	  724.7500	 1645.1038	 2242.7630	-150108.9148	17847.9867	-127648.3113	26008.4775	    0.0000	-101639.8339	  299.7106	    0.0000	    0.0000
# Simulation rate 129.62 (ave) 131.03 (inst) ns/day. Estimated completion Tue Oct 27 16:50:46 2015
# NVML : 0 : Fan 39%	 Temp 78C	 Mem Used 905MB Free 2166MB Total 3071MB
# NVML : 0 : Performance state 0
      9000	  748.2266	 1722.3730	 2288.7814	-149833.0898	17594.4115	-127479.2972	25849.2066	    0.0000	-101630.0906	  297.8752	    0.0000	    0.0000
# Simulation rate 129.74 (ave) 130.71 (inst) ns/day. Estimated completion Tue Oct 27 16:50:46 2015
# Saved restart file at 10000
# NVML : 0 : Fan 42%	 Temp 79C	 Mem Used 905MB Free 2166MB Total 3071MB
# NVML : 0 : Performance state 0
     10000	  748.7003	 1710.6371	 2256.5565	-150053.6457	17596.5218	-127741.2300	26212.0272	    0.0000	-101529.2028	  302.0562	    0.0000	    0.0000
# Simulation rate 129.86 (ave) 130.87 (inst) ns/day. Estimated completion Tue Oct 27 16:50:46 2015
# NVML : 0 : Fan 45%	 Temp 80C	 Mem Used 905MB Free 2166MB Total 3071MB
# NVML : 0 : Performance state 0
     11000	  736.1240	 1750.8493	 2286.3876	-150616.7052	17981.6816	-127861.6628	26097.2234	    0.0000	-101764.4393	  300.7332	    0.0000	    0.0000
# Simulation rate 129.95 (ave) 130.95 (inst) ns/day. Estimated completion Tue Oct 27 16:50:46 2015
# NVML : 0 : Fan 47%	 Temp 80C	 Mem Used 905MB Free 2166MB Total 3071MB
# NVML : 0 : Performance state 0
     12000	  750.4736	 1672.1210	 2263.8003	-149984.3256	17547.0489	-127750.8818	25984.6913	    0.0000	-101766.1905	  299.4365	    0.0000	    0.0000
# Simulation rate 129.50 (ave) 124.73 (inst) ns/day. Estimated completion Tue Oct 27 16:50:47 2015
# NVML : 0 : Performance state 0
     13000	  734.4839	 1667.1898	 2275.5669	-150516.5152	17900.8401	-127938.4344	25977.9922	    0.0000	-101960.4423	  299.3593	    0.0000	    0.0000
# Simulation rate 128.35 (ave) 115.92 (inst) ns/day. Estimated completion Tue Oct 27 16:50:47 2015
# NVML : 0 : Fan 48%	 Temp 80C	 Mem Used 905MB Free 2166MB Total 3071MB
# NVML : 0 : Performance state 0
     14000	  705.7964	 1678.7515	 2250.5292	-150613.1618	18053.5270	-127924.5577	25953.1235	    0.0000	-101971.4343	  299.0727	    0.0000	    0.0000
# Simulation rate 127.35 (ave) 115.73 (inst) ns/day. Estimated completion Tue Oct 27 16:50:48 2015
# Saved restart file at 15000
# NVML : 0 : Performance state 0
     15000	  736.6217	 1719.5600	 2261.5240	-150842.0589	18134.3842	-127989.9690	26036.7141	    0.0000	-101953.2550	  300.0360	    0.0000	    0.0000
# Simulation rate 126.49 (ave) 115.54 (inst) ns/day. Estimated completion Tue Oct 27 16:50:48 2015
# NVML : 0 : Performance state 0
     16000	  724.8753	 1710.3425	 2301.3475	-150021.4803	17512.7023	-127772.2128	25994.9148	    0.0000	-101777.2980	  299.5543	    0.0000	    0.0000
# Simulation rate 125.76 (ave) 115.74 (inst) ns/day. Estimated completion Tue Oct 27 16:50:49 2015
# NVML : 0 : Fan 49%	 Temp 81C	 Mem Used 905MB Free 2166MB Total 3071MB
# NVML : 0 : Performance state 0
     17000	  702.8923	 1683.8167	 2265.6156	-149889.6040	17621.1923	-127616.0870	26117.9986	    0.0000	-101498.0884	  300.9727	    0.0000	    0.0000
# Simulation rate 125.14 (ave) 115.93 (inst) ns/day. Estimated completion Tue Oct 27 16:50:49 2015
# NVML : 0 : Performance state 0
     18000	  730.1092	 1704.1594	 2265.9066	-150220.5864	17820.0439	-127700.3674	26155.8127	    0.0000	-101544.5546	  301.4084	    0.0000	    0.0000
# Simulation rate 124.58 (ave) 115.81 (inst) ns/day. Estimated completion Tue Oct 27 16:50:50 2015
# NVML : 0 : Performance state 0
     19000	  743.6299	 1736.8657	 2257.5121	-149985.8507	17641.8406	-127606.0024	25925.5889	    0.0000	-101680.4136	  298.7554	    0.0000	    0.0000
# Simulation rate 124.04 (ave) 115.01 (inst) ns/day. Estimated completion Tue Oct 27 16:50:50 2015
# Saved restart file at 20000
# NVML : 0 : Fan 50%	 Temp 81C	 Mem Used 905MB Free 2166MB Total 3071MB
# NVML : 0 : Performance state 0
     20000	  727.8374	 1714.9066	 2270.9899	-150144.6916	17781.1849	-127649.7729	25965.5779	    0.0000	-101684.1949	  299.2162	    0.0000	    0.0000
# Simulation rate 123.30 (ave) 110.88 (inst) ns/day. Estimated completion Tue Oct 27 16:50:51 2015
# NVML : 0 : Performance state 0
     21000	  722.1670	 1682.5999	 2304.4990	-150045.5761	17582.7796	-127753.5307	25908.5723	    0.0000	-101844.9584	  298.5593	    0.0000	    0.0000
# Simulation rate 122.86 (ave) 114.55 (inst) ns/day. Estimated completion Tue Oct 27 16:50:51 2015
# NVML : 0 : Fan 51%	 Temp 81C	 Mem Used 905MB Free 2166MB Total 3071MB
# NVML : 0 : Performance state 0
     22000	  789.1503	 1686.3105	 2252.8201	-150205.4230	17692.4027	-127784.7394	25976.4417	    0.0000	-101808.2977	  299.3414	    0.0000	    0.0000
# Simulation rate 122.45 (ave) 114.49 (inst) ns/day. Estimated completion Tue Oct 27 16:50:51 2015
# NVML : 0 : Performance state 0
     23000	  733.0113	 1648.1656	 2262.8696	-150061.3091	17831.0250	-127586.2375	25749.6973	    0.0000	-101836.5403	  296.7285	    0.0000	    0.0000
# Simulation rate 122.01 (ave) 113.05 (inst) ns/day. Estimated completion Tue Oct 27 16:50:51 2015
# NVML : 0 : Performance state 0
     24000	  757.0811	 1723.8619	 2247.1006	-149711.7362	17404.4457	-127579.2470	25892.7944	    0.0000	-101686.4525	  298.3775	    0.0000	    0.0000
# Simulation rate 121.69 (ave) 114.68 (inst) ns/day. Estimated completion Tue Oct 27 16:50:52 2015
# Saved restart file at 25000
# NVML : 0 : Performance state 0
     25000	  779.1023	 1674.0654	 2275.4062	-150058.6092	17840.0409	-127489.9943	25974.0211	    0.0000	-101515.9733	  299.3135	    0.0000	    0.0000
# Simulation rate 121.35 (ave) 113.90 (inst) ns/day. Estimated completion Tue Oct 27 16:50:52 2015
# NVML : 0 : Performance state 0
     26000	  725.8938	 1725.4965	 2336.1840	-150102.5788	17913.1687	-127401.8358	26003.1945	    0.0000	-101398.6413	  299.6497	    0.0000	    0.0000
# Simulation rate 121.10 (ave) 115.18 (inst) ns/day. Estimated completion Tue Oct 27 16:50:52 2015
# NVML : 0 : Fan 52%	 Temp 81C	 Mem Used 905MB Free 2166MB Total 3071MB
# NVML : 0 : Performance state 0
     27000	  714.8640	 1722.5832	 2289.8338	-149875.8837	17521.2823	-127627.3204	26081.4164	    0.0000	-101545.9041	  300.5511	    0.0000	    0.0000
# Simulation rate 120.86 (ave) 114.84 (inst) ns/day. Estimated completion Tue Oct 27 16:50:52 2015
# NVML : 0 : Performance state 0
     28000	  805.4583	 1687.9608	 2263.0560	-149848.9431	17518.6540	-127573.8140	25870.0198	    0.0000	-101703.7942	  298.1151	    0.0000	    0.0000
# Simulation rate 120.64 (ave) 114.89 (inst) ns/day. Estimated completion Tue Oct 27 16:50:52 2015
# NVML : 0 : Performance state 0
     29000	  732.3818	 1678.4311	 2331.7543	-150108.8582	17652.8572	-127713.4337	25999.9847	    0.0000	-101713.4491	  299.6127	    0.0000	    0.0000
# Simulation rate 120.44 (ave) 115.21 (inst) ns/day. Estimated completion Tue Oct 27 16:50:53 2015
# Saved restart file at 30000
# NVML : 0 : Fan 52%	 Temp 82C	 Mem Used 904MB Free 2167MB Total 3071MB
# NVML : 0 : Performance state 0
     30000	  712.6825	 1709.9335	 2259.5157	-149551.5498	17466.1811	-127403.2370	25779.7568	    0.0000	-101623.4801	  297.0749	    0.0000	    0.0000
# Simulation rate 120.24 (ave) 114.68 (inst) ns/day. Estimated completion Tue Oct 27 16:50:53 2015
# NVML : 0 : Performance state 0
# Undefined TCL function [calcforces_terminate]
# Time per step (avg over 30000 steps): 	2.868 ms
# Nanoseconds per day: 	120.484
# JOBINFO: Terminated  [Tue, 27  Oct  2015  15:50:53  +0000 UT]
#
# When publishing, please cite:
# "ACEMD: Accelerating Biomolecular Dynamics in the Microsecond Time Scale"
# M. J. Harvey, G. Giupponi and G. De Fabritiis,
# J Chem. Theory. Comput. 2009 5(6), pp1632-1639
# dx.doi.org/doi:10.1021/ct9000685

